sweep,param,algorithm,trial,time_avg_spread,min_group_reach,runtime_s,n_seeds,round0_cost,group0_reach,group1_reach,group2_reach,group3_reach,group4_reach,group5_reach
beta,0.15,repeated_greedy,4,739.9666666666667,0.588034188034188,227.48911089000012,,,0.7716161616161616,0.7212121212121211,0.660548523206751,0.6186507936507937,0.588034188034188,0.605714285714286
beta,0.3,kkt_greedy,4,539.1,0.35512820512820503,0.17706352599998354,40,200,0.6358585858585859,0.5586666666666668,0.3972573839662447,0.3714285714285714,0.35512820512820503,0.38547619047619036
beta,0.3,fair_greedy,4,556.3666666666667,0.40811965811965795,0.17466277699986676,40,200,0.572020202020202,0.5614545454545454,0.4890295358649788,0.4146825396825397,0.40811965811965795,0.4947619047619048
beta,0.3,imm,4,562.0666666666667,0.3626984126984127,0.18077839499983384,40,200,0.6265656565656565,0.5663030303030303,0.45021097046413505,0.3626984126984127,0.37350427350427345,0.4916666666666666
beta,0.3,robust_kempe,4,522.1333333333333,0.3091269841269842,0.17031106800004636,29,145,0.5965656565656565,0.5313939393939394,0.39936708860759484,0.3091269841269842,0.3871794871794871,0.42761904761904757
beta,0.3,mf_bwi_fair,4,669.1,0.6007936507936509,3.329613511000389,,,0.6636363636363637,0.6184242424242424,0.6118143459915614,0.6007936507936509,0.6196581196581197,0.6040476190476192
beta,0.3,repeated_greedy,4,682.6666666666666,0.4948412698412699,210.032075309,,,0.7329292929292929,0.6448484848484848,0.6170886075949368,0.4948412698412699,0.5474358974358972,0.5835714285714285
beta,0.5,kkt_greedy,4,499.76666666666665,0.32063492063492055,0.16345338500013895,40,200,0.5546464646464646,0.5290909090909091,0.419198312236287,0.32063492063492055,0.3222222222222222,0.37809523809523804
beta,0.5,fair_greedy,4,497.6666666666667,0.34365079365079365,0.15993602499929693,40,200,0.5332323232323233,0.4894545454545455,0.4426160337552742,0.34365079365079365,0.3773504273504273,0.42047619047619045
beta,0.5,imm,4,502.26666666666665,0.32307692307692304,0.16162713099947723,40,200,0.5679797979797978,0.518909090909091,0.41075949367088604,0.34523809523809523,0.32307692307692304,0.3788095238095239
beta,0.5,robust_kempe,4,477.4,0.27936507936507937,0.15231827500065265,29,145,0.5422222222222222,0.47296969696969693,0.3962025316455697,0.27936507936507937,0.3311965811965812,0.40357142857142864
beta,0.5,mf_bwi_fair,4,621.6,0.5592827004219408,3.1937660659996254,,,0.6086868686868686,0.5756363636363636,0.5592827004219408,0.573809523809524,0.5803418803418805,0.5757142857142857
beta,0.5,repeated_greedy,4,634.0,0.4940170940170938,193.16631957299978,,,0.6832323232323233,0.6046060606060606,0.5537974683544303,0.49920634920634915,0.4940170940170938,0.5307142857142858
beta,0.0,kkt_greedy,5,676.3666666666667,0.4321428571428571,0.2289498910004113,40,200,0.7539393939393939,0.6758787878787877,0.5879746835443039,0.4321428571428571,0.4542735042735043,0.5504761904761906
beta,0.0,fair_greedy,5,666.0,0.49273504273504254,0.20690637000006973,40,200,0.6967676767676767,0.6711515151515152,0.5938818565400844,0.5194444444444445,0.49273504273504254,0.5399999999999999
beta,0.0,imm,5,674.7333333333333,0.4521367521367521,0.2135780690005049,40,200,0.7549494949494948,0.6661818181818181,0.5622362869198312,0.5250000000000001,0.4521367521367521,0.53
beta,0.0,robust_kempe,5,619.9666666666667,0.3914529914529913,0.1978360729999622,32,160,0.7018181818181817,0.6366060606060605,0.4478902953586499,0.42539682539682533,0.3914529914529913,0.5447619047619049
beta,0.0,mf_bwi_fair,5,754.9333333333333,0.6535714285714285,3.3708635749999303,,,0.7581818181818182,0.7078787878787877,0.6776371308016879,0.6535714285714285,0.6649572649572649,0.6873809523809523
beta,0.0,repeated_greedy,5,768.2333333333333,0.5470085470085473,244.79366957799994,,,0.8216161616161615,0.7367272727272725,0.6822784810126581,0.5936507936507937,0.5470085470085473,0.6726190476190478
beta,0.15,kkt_greedy,5,587.5,0.39126984126984127,0.20806546899984824,40,200,0.6757575757575756,0.5802424242424242,0.4449367088607595,0.39126984126984127,0.4235042735042734,0.4909523809523809
beta,0.15,fair_greedy,5,599.3,0.4555555555555555,0.19750445399949967,40,200,0.6316161616161616,0.607030303030303,0.4930379746835442,0.4555555555555555,0.45726495726495714,0.5149999999999999
