sweep,param,algorithm,trial,time_avg_spread,min_group_reach,runtime_s,n_seeds,round0_cost,group0_reach,group1_reach,group2_reach,group3_reach
alpha,1.0,repeated_greedy,3,122.0,0.34722222222222227,14.438904760000241,,,0.5560897435897435,0.5701219512195123,0.34722222222222227,0.5583333333333333
alpha,1.0,mf_bwi_fair,3,122.75,0.2916666666666667,1.5342961689998447,,,0.560897435897436,0.5558943089430893,0.7222222222222222,0.2916666666666667
alpha,0.0,kkt_greedy,3,107.66666666666667,0.4351851851851852,0.06182071900002484,10,50,0.47996794871794873,0.48678861788617883,0.4351851851851852,0.5
alpha,0.0,fair_greedy,3,81.91666666666667,0.24074074074074073,0.04728329399995346,10,50,0.390224358974359,0.3333333333333333,0.24074074074074073,0.4833333333333332
alpha,0.0,imm,3,121.41666666666667,0.2416666666666667,0.06966270400016583,10,50,0.5424679487179488,0.5599593495934959,0.7916666666666666,0.2416666666666667
alpha,0.0,robust_kempe,3,111.0,0.24583333333333335,0.0700755670000035,6,30,0.5737179487179488,0.4878048780487805,0.35648148148148145,0.24583333333333335
alpha,0.0,repeated_greedy,3,122.0,0.34722222222222227,14.438904760000241,,,0.5560897435897435,0.5701219512195123,0.34722222222222227,0.5583333333333333
alpha,0.0,mf_bwi_fair,3,119.75,0.3458333333333334,1.5345177680001143,,,0.532051282051282,0.5538617886178862,0.6712962962962963,0.3458333333333334
alpha,-4.0,kkt_greedy,3,107.66666666666667,0.4351851851851852,0.06182071900002484,10,50,0.47996794871794873,0.48678861788617883,0.4351851851851852,0.5
alpha,-4.0,fair_greedy,3,81.91666666666667,0.24074074074074073,0.04728329399995346,10,50,0.390224358974359,0.3333333333333333,0.24074074074074073,0.4833333333333332
alpha,-4.0,imm,3,121.41666666666667,0.2416666666666667,0.06966270400016583,10,50,0.5424679487179488,0.5599593495934959,0.7916666666666666,0.2416666666666667
alpha,-4.0,robust_kempe,3,111.0,0.24583333333333335,0.0700755670000035,6,30,0.5737179487179488,0.4878048780487805,0.35648148148148145,0.24583333333333335
alpha,-4.0,repeated_greedy,3,122.0,0.34722222222222227,14.438904760000241,,,0.5560897435897435,0.5701219512195123,0.34722222222222227,0.5583333333333333
alpha,-4.0,mf_bwi_fair,3,115.16666666666667,0.42916666666666664,1.5146884200003115,,,0.5224358974358975,0.5254065040650406,0.5092592592592592,0.42916666666666664
