sweep,param,algorithm,trial,time_avg_spread,min_group_reach,runtime_s,n_seeds,round0_cost,group0_reach,group1_reach,group2_reach,group3_reach
beta,0.3,imm,1,176.9,0.7820512820512823,0.16631883599995945,20,100,0.7820512820512823,0.7833333333333333,0.8574074074074074,0.7949999999999998
beta,0.3,robust_kempe,1,178.83333333333334,0.7829268292682929,0.16651656400000547,13,65,0.8073717948717948,0.7829268292682929,0.8333333333333331,0.7833333333333331
beta,0.3,mf_bwi_fair,1,192.56666666666666,0.8439102564102563,2.8777938179999865,,,0.8439102564102563,0.86869918699187,0.8777777777777777,0.8883333333333331
beta,0.3,repeated_greedy,1,191.7,0.8390243902439027,40.564549634,,,0.8647435897435898,0.8390243902439027,0.8462962962962963,0.8866666666666667
beta,0.5,kkt_greedy,1,156.56666666666666,0.6283333333333334,0.15721366700000772,20,100,0.7176282051282052,0.6999999999999998,0.6648148148148147,0.6283333333333334
beta,0.5,fair_greedy,1,163.3,0.7182692307692309,0.15688586999999643,20,100,0.7182692307692309,0.7235772357723576,0.8037037037037037,0.74
beta,0.5,imm,1,164.56666666666666,0.7227564102564104,0.14862827700000025,20,100,0.7227564102564104,0.7353658536585367,0.8018518518518517,0.7333333333333332
beta,0.5,robust_kempe,1,161.43333333333334,0.7049999999999998,0.13896610000000464,13,65,0.7128205128205127,0.7199186991869918,0.7870370370370371,0.7049999999999998
beta,0.5,mf_bwi_fair,1,185.4,0.8115384615384613,2.7469446460000313,,,0.8115384615384613,0.8317073170731709,0.8648148148148149,0.8616666666666665
beta,0.5,repeated_greedy,1,183.26666666666668,0.788888888888889,38.687966414000016,,,0.821474358974359,0.8093495934959349,0.788888888888889,0.8633333333333334
beta,0.7,kkt_greedy,1,143.56666666666666,0.3283333333333333,0.14787592600004018,20,100,0.6701923076923078,0.6760162601626016,0.6592592592592592,0.3283333333333333
beta,0.7,fair_greedy,1,153.7,0.6349593495934959,0.13299916700003678,20,100,0.6932692307692306,0.6349593495934959,0.7981481481481484,0.7583333333333333
beta,0.7,imm,1,150.1,0.6463414634146344,0.12743094500001462,20,100,0.6727564102564103,0.6463414634146344,0.7537037037037038,0.6783333333333333
beta,0.7,robust_kempe,1,152.6,0.6548780487804878,0.13021660999999085,13,65,0.689102564102564,0.6548780487804878,0.7259259259259259,0.7083333333333334
beta,0.7,mf_bwi_fair,1,177.93333333333334,0.7798076923076923,2.5252758259999837,,,0.7798076923076923,0.8040650406504066,0.835185185185185,0.7933333333333332
beta,0.7,repeated_greedy,1,177.73333333333332,0.780128205128205,36.845039074,,,0.780128205128205,0.8016260162601626,0.825925925925926,0.7999999999999999
beta,0.0,kkt_greedy,2,190.9,0.5166666666666666,0.1926326909999716,20,100,0.8855769230769232,0.8833333333333335,0.8907407407407407,0.5166666666666666
beta,0.0,fair_greedy,2,198.53333333333333,0.8740384615384614,0.17625436399998762,20,100,0.8740384615384614,0.876829268292683,0.9722222222222221,0.9116666666666666
