sweep,param,algorithm,trial,time_avg_spread,min_group_reach,runtime_s,group0_reach,group1_reach,group2_reach
beta,0.0,mf_bwi_fair,5,105.4,0.795,0.22371804700003395,0.795,0.8608333333333332,0.9177777777777777
beta,0.0,repeated_greedy,5,106.43333333333334,0.8616666666666665,9.797418984000046,0.8616666666666665,0.8800000000000002,0.8999999999999998
beta,0.1,kkt_greedy,5,69.13333333333334,0.48666666666666647,0.016907389999914813,0.51,0.48666666666666647,0.6577777777777778
beta,0.1,fair_greedy,5,71.03333333333333,0.5466666666666666,0.017242910999925698,0.5466666666666666,0.5583333333333333,0.6294444444444446
beta,0.1,imm,5,74.0,0.48166666666666674,0.017548544000078437,0.555,0.48166666666666674,0.7272222222222223
beta,0.1,mf_bwi_fair,5,102.3,0.6916666666666664,0.24148586599994815,0.6916666666666664,0.8641666666666665,0.8983333333333334
beta,0.1,repeated_greedy,5,103.06666666666666,0.8483333333333329,9.100620977000062,0.8483333333333329,0.8525000000000001,0.8666666666666666
beta,0.2,kkt_greedy,5,69.83333333333333,0.4850000000000001,0.01571214799992049,0.4850000000000001,0.5141666666666667,0.6594444444444445
beta,0.2,fair_greedy,5,68.1,0.4941666666666667,0.014963190000003124,0.5749999999999998,0.4941666666666667,0.6138888888888889
beta,0.2,imm,5,65.96666666666667,0.4166666666666667,0.014532070999962343,0.4166666666666667,0.45083333333333336,0.6599999999999999
beta,0.2,mf_bwi_fair,5,101.1,0.5933333333333333,0.20920995200003745,0.5933333333333333,0.8541666666666666,0.9177777777777778
beta,0.2,repeated_greedy,5,103.96666666666667,0.8349999999999999,8.643194490000042,0.8349999999999999,0.8833333333333332,0.8655555555555555
beta,0.3,kkt_greedy,5,65.66666666666667,0.4433333333333332,0.015210238999998182,0.47833333333333333,0.4433333333333332,0.6394444444444445
beta,0.3,fair_greedy,5,60.333333333333336,0.39333333333333337,0.013361792999944555,0.39333333333333337,0.4866666666666666,0.55
beta,0.3,imm,5,70.23333333333333,0.5266666666666667,0.015022538000039276,0.5266666666666667,0.5283333333333333,0.6427777777777778
beta,0.3,mf_bwi_fair,5,102.93333333333334,0.7033333333333333,0.2160457980000956,0.7033333333333333,0.8633333333333333,0.9055555555555554
beta,0.3,repeated_greedy,5,97.96666666666667,0.7874999999999999,8.125121891000049,0.8549999999999999,0.7874999999999999,0.8227777777777775
beta,0.5,kkt_greedy,5,59.266666666666666,0.31583333333333335,0.014027501999976266,0.5183333333333333,0.31583333333333335,0.6044444444444445
beta,0.5,fair_greedy,5,55.46666666666667,0.3416666666666666,0.01255336199994872,0.3416666666666666,0.3766666666666667,0.5594444444444444
beta,0.5,imm,5,60.13333333333333,0.375,0.01319032599997172,0.375,0.43333333333333335,0.5883333333333334
beta,0.5,mf_bwi_fair,5,102.2,0.6783333333333332,0.2105526599999621,0.6783333333333332,0.8508333333333336,0.9099999999999999
beta,0.5,repeated_greedy,5,98.9,0.8066666666666664,8.014721182000017,0.8066666666666664,0.8324999999999999,0.8244444444444443
beta,0.7,kkt_greedy,5,50.9,0.2616666666666667,0.012654136000037397,0.2616666666666667,0.3066666666666666,0.5566666666666668
beta,0.7,fair_greedy,5,45.43333333333333,0.2700000000000001,0.010646768000015072,0.2700000000000001,0.32500000000000007,0.4505555555555556
beta,0.7,imm,5,55.2,0.36833333333333323,0.012583210999991934,0.36833333333333323,0.3816666666666666,0.5427777777777777
beta,0.7,mf_bwi_fair,5,100.36666666666666,0.5766666666666668,0.22424021099993752,0.5766666666666668,0.8675000000000002,0.9022222222222223
beta,0.7,repeated_greedy,5,89.93333333333334,0.7449999999999999,7.182722394999928,0.7449999999999999,0.7475,0.7522222222222222
beta,0.0,kkt_greedy,6,77.86666666666666,0.47000000000000003,0.017923247999988234,0.47000000000000003,0.5558333333333333,0.7705555555555555
beta,0.0,fair_greedy,6,68.66666666666667,0.4616666666666666,0.01592184600008295,0.4616666666666666,0.4725,0.6755555555555556
